bookID,title,authors,average_rating,publication_date,publisher,available
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,9/16/2006,Scholastic Inc.,0
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,9/1/2004,Scholastic Inc.,1
3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,11/1/2003,Scholastic,1
4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,5/1/2004,Scholastic Inc.,1
5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,9/13/2004,Scholastic,1
6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,4/26/2005,Nimble Books,1
7,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,9/12/2005,Scholastic,1
8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,11/1/2005,Gramercy Books,1
9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,4/30/2002,Del Rey Books,1
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,8/3/2004,Crown,1
11,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,3/23/2005,Random House Audio,0
12,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,1/17/1996,Wings Books,1
13,A Short History of Nearly Everything,Bill Bryson,4.21,9/14/2004,Broadway Books,1
14,Bill Bryson's African Diary,Bill Bryson,3.44,12/3/2002,Broadway Books,1
15,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,9/14/2004,Broadway Books,1
16,In a Sunburned Country,Bill Bryson,4.07,5/15/2001,Broadway Books,1
17,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,6/28/2000,Broadway Books,1
18,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,8/28/1990,William Morrow Paperbacks,1
19,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,3/28/1993,William Morrow Paperbacks,1
20,Notes from a Small Island,Bill Bryson,3.91,5/28/1997,William Morrow Paperbacks,1
21,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,9/28/1991,William Morrow Paperbacks,1
22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,9/25/2012,Ballantine Books,1
23,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,10/21/2004,Houghton Mifflin Harcourt,1
